Entity,DBpedia_URI
Weimar Constitution,http://dbpedia.org/resource/Weimar_Constitution
Belgium,http://dbpedia.org/resource/Belgium
East Germany,http://dbpedia.org/resource/East_Germany
the Czech Republic,http://dbpedia.org/resource/Czech_Republic
the Weimar Republic,http://dbpedia.org/resource/Weimar_Republic
Denmark,http://dbpedia.org/resource/Denmark
the North German Confederation Treaty,http://dbpedia.org/resource/North_German_Confederation_Treaty
Scandinavia,http://dbpedia.org/resource/Scandinavia
Arabic,http://dbpedia.org/resource/Arabic
Carl Spitzweg,http://dbpedia.org/resource/Carl_Spitzweg
the European Economic Community,http://dbpedia.org/resource/European_Economic_Community
Frankfurt,http://dbpedia.org/resource/Frankfurt
Adolf Hitler,http://dbpedia.org/resource/Adolf_Hitler
the German Revolution,http://dbpedia.org/resource/German_Revolution_of_1918–19
Günter Grass,http://dbpedia.org/resource/Günter_Grass
North Sea,http://dbpedia.org/resource/North_Sea
ProSiebenSat.1 Media,http://dbpedia.org/resource/ProSiebenSat.1_Media
Sorbs,http://dbpedia.org/resource/Sorbs
Fritz Lang,http://dbpedia.org/resource/Fritz_Lang
Heimatfilm,http://dbpedia.org/resource/Heimatfilm
Heinrich Brüning's,http://dbpedia.org/resource/Heinrich_Brüning
Audi,http://dbpedia.org/resource/Audi
the Black Death,http://dbpedia.org/resource/Race_and_ethnicity_in_the_United_States_Census
the Golden Twenties,http://dbpedia.org/resource/Golden_Twenties
Opel,http://dbpedia.org/resource/Opel
ADAC Motorwelt,http://dbpedia.org/resource/ADAC
Carl Maria von Weber,http://dbpedia.org/resource/Carl_Maria_von_Weber
the Olympic Games,http://dbpedia.org/resource/Olympic_Games
The Tin Drum (Die Blechtrommel,http://dbpedia.org/resource/The_Tin_Drum
The Leipzig Book Fair,http://dbpedia.org/resource/Leipzig_Book_Fair
